Rating,Company Name,Size,Type of ownership,Industry,Sector,Revenue,weight,Job Category,Merged Experience Category,num_comp,avg_salary,job_state,age,python_yn,sql_yn,excel_yn,tableau_yn,power bi_yn,sas_yn,hadoop_yn,spark_yn,tensorflow_yn,keras_yn,pytorch_yn,scikit-learn_yn,matplotlib_yn,snowflake_yn,numpy_yn,pandas_yn,scipy_yn,bigquery_yn,aws_yn,azure_yn,google cloud_yn,airflow_yn,git_yn,docker_yn,kubernetes_yn,r_yn,Description_len
3.5,First Tech Federal Credit Union,1001 to 5000 employees,Company - Private,Finance & Insurance,Finance & Insurance,$100 to $500 million (USD),2,data scientist,Strong Experience,0,99.5,OR,73,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,4420
3.7,The Hanover Insurance Group,5001 to 10000 employees,Company - Public,Finance & Insurance,Finance & Insurance,$5 to $10 billion (USD),1,data analyst,Unknown,0,47.5,MA,173,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4900
4.0,Pfizer,10000+ employees,Company - Public,Health & Pharmaceuticals,Health & Pharmaceuticals,$10+ billion (USD),2,data scientist,Unknown,0,84.0,CT,176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5015
3.6,Amrock,1001 to 5000 employees,Company - Private,Other,Other,$500 million to $1 billion (USD),2,data scientist,Unknown,0,96.0,MI,28,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3342
3.8,Novartis,10000+ employees,Company - Public,Health & Pharmaceuticals,Health & Pharmaceuticals,$10+ billion (USD),2,mle,General Experience,0,114.5,MA,29,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5045
3.8,Juniper Networks,5001 to 10000 employees,Company - Public,Technology,Technology,$2 to $5 billion (USD),2,data scientist,Entry Level,0,121.0,CA,29,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2327
4.7,New England Biolabs,201 to 500 employees,Company - Private,Health & Pharmaceuticals,Health & Pharmaceuticals,Unknown / Non-Applicable,2,data scientist,General Experience,3,112.5,MA,51,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2161
4.2,Clarity Insights,201 to 500 employees,Company - Private,Technology,Technology,Unknown / Non-Applicable,1,data analyst,Strong Experience,0,106.0,CA,17,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1739
3.5,Esri,1001 to 5000 employees,Company - Private,Technology,Technology,$1 to $2 billion (USD),2,data scientist,General Experience,1,107.0,CA,56,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,5000
4.7,Systems & Technology Research,201 to 500 employees,Company - Private,Manufacturing & Engineering,Manufacturing & Engineering,$100 to $500 million (USD),1,data scientist,Some Experience,0,110.0,MA,15,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3703
3.5,Sartorius,5001 to 10000 employees,Company - Public,Health & Pharmaceuticals,Health & Pharmaceuticals,$1 to $2 billion (USD),1,data scientist,Some Experience,0,147.5,CA,155,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3555
3.5,Lancer Insurance,201 to 500 employees,Company - Private,Finance & Insurance,Finance & Insurance,$100 to $500 million (USD),1,data engineer,Unknown,0,106.0,NY,40,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1739
4.2,Sauce Labs,201 to 500 employees,Company - Private,Technology,Technology,$50 to $100 million (USD),1,data analyst,General Experience,3,88.0,CA,17,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3053
3.6,Persivia,1 to 50 employees,Company - Private,Other,Other,Less than $1 million (USD),1,data engineer,Some Experience,0,98.5,MA,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
4.2,Nuna,51 to 200 employees,Company - Private,Technology,Technology,Unknown / Non-Applicable,2,data scientist,Junior,0,142.5,CA,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3833
3.4,Edgewell Personal Care,5001 to 10000 employees,Company - Public,Manufacturing & Engineering,Manufacturing & Engineering,$2 to $5 billion (USD),1,scientist,Unknown,3,82.5,NJ,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3550
4.3,Equity Residential,1001 to 5000 employees,Company - Public,Other,Other,$2 to $5 billion (USD),2,data scientist,Entry Level,3,130.0,IL,32,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9120
5.0,BPA Services,Unknown,Company - Private,Technology,Technology,Unknown / Non-Applicable,2,data scientist,Strong Experience,0,155.0,DC,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3213
3.7,Visa Inc.,10000+ employees,Company - Public,Technology,Technology,$10+ billion (USD),2,data scientist,Some Experience,3,184.5,WA,67,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7286
3.1,Intrado,5001 to 10000 employees,Company - Private,Technology,Technology,$2 to $5 billion (USD),1,data analyst,Unknown,0,29.5,CO,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3412
4.7,Centauri,501 to 1000 employees,Company - Private,Manufacturing & Engineering,Manufacturing & Engineering,$100 to $500 million (USD),1,scientist,Unknown,3,86.5,OH,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2682
3.7,Caterpillar,10000+ employees,Company - Public,Manufacturing & Engineering,Manufacturing & Engineering,$10+ billion (USD),2,data scientist,Some Experience,3,81.0,IL,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2739
3.8,Zimmerman Advertising,501 to 1000 employees,Subsidiary or Business Segment,Media & Entertainment,Professional Services,Unknown / Non-Applicable,2,data scientist,Some Experience,0,91.0,FL,41,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2915
3.3,Liberty Mutual Insurance,10000+ employees,Company - Private,Finance & Insurance,Finance & Insurance,$10+ billion (USD),2,data scientist,Strong Experience,3,114.5,MA,113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4244
4.6,"Torch Technologies, Inc.",1001 to 5000 employees,Company - Private,Manufacturing & Engineering,Manufacturing & Engineering,$100 to $500 million (USD),1,data scientist,General Experience,0,68.0,AL,23,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1629
3.7,Swiss Re,10000+ employees,Company - Public,Finance & Insurance,Finance & Insurance,$10+ billion (USD),2,data scientist,Junior,3,115.0,NY,162,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4734
3.7,Northrop Grumman,10000+ employees,Company - Public,Manufacturing & Engineering,Manufacturing & Engineering,$10+ billion (USD),2,data scientist,Entry Level,0,109.5,CA,86,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4448
3.5,Sartorius,5001 to 10000 employees,Company - Public,Health & Pharmaceuticals,Health & Pharmaceuticals,$1 to $2 billion (USD),2,data scientist,Some Experience,0,75.5,NM,155,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3543
4.1,Netskope,501 to 1000 employees,Company - Private,Technology,Technology,Unknown / Non-Applicable,1,data scientist,Some Experience,3,154.5,CA,13,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4203
4.7,1904labs,51 to 200 employees,Company - Private,Technology,Technology,Unknown / Non-Applicable,2,data scientist,Some Experience,2,143.5,MO,9,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5020
4.4,The David J. Joseph Company,201 to 500 employees,Subsidiary or Business Segment,Other,Other,Unknown / Non-Applicable,2,data scientist,General Experience,0,107.0,OH,140,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4804
4.3,USEReady,201 to 500 employees,Company - Private,Professional Services,Professional Services,$10 to $25 million (USD),2,data scientist,Unknown,0,115.0,NY,14,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1382
3.8,Bill.com,501 to 1000 employees,Company - Public,Finance & Insurance,Finance & Insurance,$50 to $100 million (USD),2,data scientist,Unknown,0,139.5,CA,19,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2933
3.8,Pacific Northwest National Laboratory,1001 to 5000 employees,Government,Energy & Utilities,Energy & Utilities,$500 million to $1 billion (USD),2,data scientist,Unknown,3,67.0,WA,60,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4945
3.8,DICK'S Sporting Goods - Corporate,10000+ employees,Company - Public,Retail & Consumer Services,Retail,$5 to $10 billion (USD),2,data scientist,General Experience,3,85.0,PA,77,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2493
2.8,Berg Health,51 to 200 employees,Company - Private,Health & Pharmaceuticals,Health & Pharmaceuticals,$1 to $5 million (USD),1,data scientist,Entry Level,0,118.0,MA,19,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1939
4.7,Oversight Systems,51 to 200 employees,Company - Private,Technology,Technology,$25 to $50 million (USD),2,data scientist,Strong Experience,0,79.5,GA,22,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3081
3.1,C Space,201 to 500 employees,Company - Public,Media & Entertainment,Professional Services,$100 to $500 million (USD),1,data scientist,General Experience,4,56.5,MA,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8397
3.2,"Numeric, LLC",1 to 50 employees,Company - Private,Professional Services,Professional Services,$5 to $10 million (USD),2,data scientist,Junior,0,128.5,PA,-1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2306
4.0,HP Inc.,10000+ employees,Company - Public,Technology,Technology,Unknown / Non-Applicable,1,scientist,Junior,0,97.5,WA,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2291
4.4,SpringML,1 to 50 employees,Company - Private,Technology,Technology,Unknown / Non-Applicable,1,na,Entry Level,0,66.5,IN,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1886
3.6,Grainger,10000+ employees,Company - Public,Retail & Consumer Services,Professional Services,$10+ billion (USD),1,data scientist,General Experience,0,179.5,IL,98,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2903
2.7,EAG Laboratories,501 to 1000 employees,Subsidiary or Business Segment,Professional Services,Professional Services,$50 to $100 million (USD),1,scientist,Senior,0,76.0,MO,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2653
3.9,The Buffalo Group,501 to 1000 employees,Company - Private,Technology,Technology,$100 to $500 million (USD),2,data scientist,Unknown,3,112.0,VA,15,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4427
3.1,Carmeuse,1001 to 5000 employees,Company - Private,Energy & Utilities,Other,$1 to $2 billion (USD),1,data scientist,Junior,3,98.0,PA,165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2609
4.0,HP Inc.,10000+ employees,Company - Public,Technology,Technology,Unknown / Non-Applicable,1,data scientist,Strong Experience,0,128.0,WA,86,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4295
4.3,h2o.ai,201 to 500 employees,Company - Private,Technology,Technology,Unknown / Non-Applicable,1,data scientist,General Experience,0,150.5,CA,14,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,3405
1.9,GNS Healthcare,51 to 200 employees,Company - Private,Health & Pharmaceuticals,Health & Pharmaceuticals,$10 to $25 million (USD),1,scientist,Unknown,0,87.5,MA,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5153
3.3,Peraton,1001 to 5000 employees,Company - Private,Manufacturing & Engineering,Manufacturing & Engineering,$1 to $2 billion (USD),1,data scientist,General Experience,0,110.0,VA,8,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3381
4.4,Pactera,10000+ employees,Company - Private,Technology,Technology,$500 million to $1 billion (USD),1,data scientist,General Experience,3,113.5,CA,30,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,879
3.9,Nurx,51 to 200 employees,Company - Private,Health & Pharmaceuticals,Health & Pharmaceuticals,$1 to $5 million (USD),1,data scientist,Junior,0,124.0,CA,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4189
4.7,webfx.com,201 to 500 employees,Company - Private,Media & Entertainment,Professional Services,$25 to $50 million (USD),1,data analyst,General Experience,0,56.5,PA,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4424
4.5,Johns Hopkins University Applied Physics Laboratory,5001 to 10000 employees,Nonprofit Organization,Manufacturing & Engineering,Manufacturing & Engineering,$1 to $2 billion (USD),1,data scientist,Junior,3,130.0,MD,83,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2996
4.3,Productive Edge,51 to 200 employees,Company - Private,Technology,Technology,$10 to $25 million (USD),1,data analyst,Unknown,3,77.5,IL,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3682
4.0,Excella Consulting,201 to 500 employees,Company - Private,Professional Services,Professional Services,$50 to $100 million (USD),1,data engineer,Some Experience,0,87.0,VA,23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3819
4.4,Gensco,501 to 1000 employees,Company - Private,Retail & Consumer Services,Professional Services,$100 to $500 million (USD),1,data analyst,Unknown,0,53.5,WA,77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1791
4.2,goTRG,501 to 1000 employees,Company - Private,Technology,Technology,$100 to $500 million (USD),1,data scientist,General Experience,0,85.5,FL,17,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3204
4.5,NMR Consulting,51 to 200 employees,Company - Private,Technology,Technology,$25 to $50 million (USD),1,na,Unknown,0,48.0,AL,29,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2253
3.5,iSeatz,51 to 200 employees,Company - Private,Technology,Technology,Unknown / Non-Applicable,1,data analyst,Junior,0,48.0,LA,26,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2772
3.5,Nektar Therapeutics,201 to 500 employees,Company - Public,Health & Pharmaceuticals,Health & Pharmaceuticals,$100 to $500 million (USD),1,scientist,Unknown,3,174.0,CA,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4751
3.9,TransUnion,5001 to 10000 employees,Company - Public,Finance & Insurance,Finance & Insurance,$1 to $2 billion (USD),1,data scientist,General Experience,0,85.0,GA,57,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2380
4.7,IT Concepts,51 to 200 employees,Company - Private,Technology,Technology,$10 to $25 million (USD),1,na,Unknown,0,106.5,MD,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2723
4.2,Scientific Research Corporation,1001 to 5000 employees,Company - Private,Technology,Technology,$100 to $500 million (USD),1,data analyst,Strong Experience,0,72.5,MD,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2337
3.4,General Dynamics Information Technology,10000+ employees,Subsidiary or Business Segment,Technology,Technology,$10+ billion (USD),1,scientist,Mid Level,3,85.5,MD,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4088
3.2,MITRE,5001 to 10000 employees,Nonprofit Organization,Government & Public Services,Government & Public Services,$1 to $2 billion (USD),1,data scientist,Entry Level,3,97.5,VA,67,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5342
3.9,The Buffalo Group,501 to 1000 employees,Company - Private,Technology,Technology,$100 to $500 million (USD),1,data scientist,Unknown,3,99.0,VA,15,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2588
3.1,DentaQuest,1001 to 5000 employees,Company - Private,Finance & Insurance,Finance & Insurance,$2 to $5 billion (USD),1,data analyst,Entry Level,3,56.5,WI,24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4203
4.1,Redjack,1 to 50 employees,Company - Private,Technology,Technology,Unknown / Non-Applicable,1,data scientist,Senior,0,133.0,MD,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5467
3.8,7Park Data,51 to 200 employees,Company - Private,Professional Services,Professional Services,Unknown / Non-Applicable,1,data scientist,Unknown,0,121.0,NY,13,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,3443
4.7,Rapid Response Monitoring,501 to 1000 employees,Company - Private,Government & Public Services,Professional Services,Unknown / Non-Applicable,1,data scientist,General Experience,3,85.5,NY,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3316
4.3,Trilogy Ed,1001 to 5000 employees,Subsidiary or Business Segment,Professional Services,Education,Unknown / Non-Applicable,1,data scientist,General Experience,3,87.5,TX,10,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,3717
4.2,Gallup,1001 to 5000 employees,Company - Private,Professional Services,Professional Services,Unknown / Non-Applicable,1,data scientist,Unknown,3,237.5,DC,90,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3301
3.9,CapTech,1001 to 5000 employees,Company - Private,Technology,Technology,$100 to $500 million (USD),1,data engineer,General Experience,3,95.5,NC,28,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5483
3.3,American Axle & Manufacturing,10000+ employees,Company - Public,Manufacturing & Engineering,Manufacturing & Engineering,$5 to $10 billion (USD),1,data scientist,Strong Experience,0,104.5,MI,31,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4753
4.7,CentralReach,201 to 500 employees,Company - Private,Technology,Technology,Unknown / Non-Applicable,1,data analyst,Unknown,3,56.5,NJ,13,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5609
